Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
4,900.0,1085,1084,nc7h16 + oh => c7h15-2 + h2o,Elementary,-0.11649115,0.11649115,7
4,900.0,1323,1322,c7h15o2-4 => c7h14ooh4-2,Elementary,-0.1093915,0.1093915,7
4,900.0,1431,1430,c7h14ooh2-4o2 => nc7ket24 + oh,Elementary,-0.09498689,0.09498689,7
4,900.0,1409,1408,c7h14ooh2-4o2 => c7h14ooh2-4 + o2,Elementary,0.09458282,0.09458282,7
4,900.0,1410,1409,c7h14ooh2-4 + o2 => c7h14ooh2-4o2,Elementary,-0.09030053,0.09030053,7
4,900.0,1193,1192,c7h15-3 => c4h8-1 + nc3h7,Elementary,0.08981215,0.08981215,7
4,900.0,1279,1278,c7h15o2-3 => c7h15-3 + o2,Elementary,0.08555669,0.08555669,7
4,900.0,1301,1300,c7h15o2-1 => c7h14ooh1-2,Elementary,0.08529485,0.08529485,7
4,900.0,1303,1302,c7h15o2-1 => c7h14ooh1-3,Elementary,-0.0826861,0.0826861,7
4,900.0,1441,1440,c7h14ooh3-5o2 => nc7ket35 + oh,Elementary,-0.08102441,0.08102441,7
4,900.0,1427,1426,c7h14ooh1-3o2 => nc7ket13 + oh,Elementary,-0.07930307,0.07930307,7
4,900.0,1325,1324,c7h15o2-4 => c7h14ooh4-3,Elementary,0.07850417,0.07850417,7
4,900.0,1420,1419,c7h14ooh3-5 + o2 => c7h14ooh3-5o2,Elementary,-0.07804938,0.07804938,7
4,900.0,1307,1306,c7h15o2-2 => c7h14ooh2-3,Elementary,0.07751281,0.07751281,7
4,900.0,1423,1422,c7h14ooh4-2o2 => c7h14ooh4-2 + o2,Elementary,0.07435796,0.07435796,7
4,900.0,1419,1418,c7h14ooh3-5o2 => c7h14ooh3-5 + o2,Elementary,0.07388606,0.07388606,7
4,900.0,1317,1316,c7h15o2-3 => c7h14ooh3-4,Elementary,0.07312879,0.07312879,7
4,900.0,1089,1088,nc7h16 + oh => c7h15-4 + h2o,Elementary,-0.07122286,0.07122286,7
4,900.0,1445,1444,c7h14ooh4-2o2 => nc7ket42 + oh,Elementary,-0.07000782,0.07000782,7
4,900.0,1424,1423,c7h14ooh4-2 + o2 => c7h14ooh4-2o2,Elementary,-0.06894706,0.06894706,7
4,900.0,1406,1405,c7h14ooh1-3 + o2 => c7h14ooh1-3o2,Elementary,-0.06825908,0.06825908,7
4,900.0,1383,1382,c7h14ooh2-4 => c7h14o2-4 + oh,Elementary,0.06138259,0.06138259,7
4,900.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.06110929,0.06110929,7
4,900.0,1277,1276,c7h15o2-2 => c7h15-2 + o2,Elementary,0.05919624,0.05919624,7
4,900.0,1280,1279,c7h15-3 + o2 => c7h15o2-3,Elementary,-0.05898345,0.05898345,7
4,900.0,1405,1404,c7h14ooh1-3o2 => c7h14ooh1-3 + o2,Elementary,0.05697162,0.05697162,7
4,900.0,1201,1200,c7h15-4 => c2h5 + c5h10-1,Elementary,0.05603521,0.05603521,7
4,900.0,1281,1280,c7h15o2-4 => c7h15-4 + o2,Elementary,0.05532765,0.05532765,7
4,900.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.05302098,0.05302098,7
0,680.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.06447568,0.06447568,7
0,680.0,1453,1452,nc7ket24 => nc3h7cho + ch3coch2 + oh,Elementary,-0.05466415,0.05466415,7
37,1468.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.05318099,0.05318099,7
8,1300.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.07956687,0.07956687,7
8,1300.0,1063,1062,nc7h16 => c5h11-1 + c2h5,Elementary,-0.06131327,0.06131327,7
8,1300.0,1065,1064,nc7h16 => pc4h9 + nc3h7,Elementary,-0.05020648,0.05020648,7
